TheSunX,TheSunY,TheSunZ,MercuryX,MercuryY,MercuryZ,VenusX,VenusY,VenusZ,EarthX,EarthY,EarthZ,MarsX,MarsY,MarsZ,JupiterX,JupiterY,JupiterZ,SaturnX,SaturnY,SaturnZ,UranusX,UranusY,UranusZ,NeptuneX,NeptuneY,NeptuneZ,PlutoX,PlutoY,PlutoZ,
5.53921e+08,1.80796e+08,-2.39482e+07,1.34451e+10,-6.65804e+10,-6.64959e+09,-8.0261e+10,7.03604e+10,5.60732e+09,4.83378e+10,1.40054e+11,-5.31288e+07,-2.355e+11,7.79328e+10,7.38455e+09,-7.62996e+11,2.66774e+11,1.59436e+10,-5.74876e+11,-1.38063e+12,4.68862e+10,2.82925e+12,9.65982e+11,-3.30834e+10,4.17785e+12,-1.62421e+12,-6.28426e+10,1.26444e+12,-4.76921e+12,1.44737e+11,
5.53928e+08,1.80838e+08,-2.39484e+07,1.35823e+10,-6.65392e+10,-6.65882e+09,-8.03436e+10,7.02641e+10,5.61077e+09,4.82345e+10,1.40088e+11,-5.31334e+07,-2.35524e+11,7.78574e+10,7.38356e+09,-7.63012e+11,2.66732e+11,1.59441e+10,-5.74846e+11,-1.38065e+12,4.68853e+10,2.82924e+12,9.66005e+11,-3.30832e+10,4.17785e+12,-1.62419e+12,-6.28431e+10,1.26446e+12,-4.76921e+12,1.44731e+11,
5.53935e+08,1.8088e+08,-2.39487e+07,1.37195e+10,-6.64977e+10,-6.66801e+09,-8.0426e+10,7.01678e+10,5.6142e+09,4.81311e+10,1.40122e+11,-5.31381e+07,-2.35548e+11,7.7782e+10,7.38256e+09,-7.63028e+11,2.66689e+11,1.59446e+10,-5.74816e+11,-1.38066e+12,4.68843e+10,2.82923e+12,9.66027e+11,-3.3083e+10,4.17786e+12,-1.62417e+12,-6.28437e+10,1.26448e+12,-4.76921e+12,1.44726e+11,
5.53943e+08,1.80923e+08,-2.39489e+07,1.38566e+10,-6.64558e+10,-6.67717e+09,-8.05084e+10,7.00713e+10,5.61763e+09,4.80277e+10,1.40155e+11,-5.31427e+07,-2.35572e+11,7.77065e+10,7.38156e+09,-7.63044e+11,2.66647e+11,1.59452e+10,-5.74785e+11,-1.38067e+12,4.68833e+10,2.82923e+12,9.66049e+11,-3.30828e+10,4.17787e+12,-1.62416e+12,-6.28442e+10,1.2645e+12,-4.76921e+12,1.4472e+11,
5.5395e+08,1.80965e+08,-2.39491e+07,1.39936e+10,-6.64135e+10,-6.68629e+09,-8.05906e+10,6.99747e+10,5.62105e+09,4.79243e+10,1.40189e+11,-5.31472e+07,-2.35596e+11,7.76311e+10,7.38057e+09,-7.6306e+11,2.66605e+11,1.59457e+10,-5.74755e+11,-1.38069e+12,4.68824e+10,2.82922e+12,9.66071e+11,-3.30826e+10,4.17788e+12,-1.62414e+12,-6.28448e+10,1.26452e+12,-4.76921e+12,1.44715e+11,
5.53957e+08,1.81008e+08,-2.39493e+07,1.41305e+10,-6.63709e+10,-6.69538e+09,-8.06727e+10,6.9878e+10,5.62446e+09,4.78208e+10,1.40223e+11,-5.31518e+07,-2.3562e+11,7.75557e+10,7.37957e+09,-7.63076e+11,2.66563e+11,1.59462e+10,-5.74725e+11,-1.3807e+12,4.68814e+10,2.82921e+12,9.66093e+11,-3.30825e+10,4.17788e+12,-1.62412e+12,-6.28453e+10,1.26454e+12,-4.76921e+12,1.44709e+11,
5.53964e+08,1.8105e+08,-2.39495e+07,1.42674e+10,-6.63279e+10,-6.70442e+09,-8.07547e+10,6.97813e+10,5.62787e+09,4.77173e+10,1.40256e+11,-5.31564e+07,-2.35643e+11,7.74802e+10,7.37857e+09,-7.63092e+11,2.66521e+11,1.59468e+10,-5.74695e+11,-1.38071e+12,4.68804e+10,2.8292e+12,9.66115e+11,-3.30823e+10,4.17789e+12,-1.6241e+12,-6.28458e+10,1.26456e+12,-4.76921e+12,1.44703e+11,
5.53971e+08,1.81092e+08,-2.39498e+07,1.44042e+10,-6.62846e+10,-6.71344e+09,-8.08366e+10,6.96844e+10,5.63127e+09,4.76139e+10,1.4029e+11,-5.31609e+07,-2.35667e+11,7.74048e+10,7.37757e+09,-7.63108e+11,2.66478e+11,1.59473e+10,-5.74665e+11,-1.38073e+12,4.68795e+10,2.82919e+12,9.66137e+11,-3.30821e+10,4.1779e+12,-1.62408e+12,-6.28464e+10,1.26458e+12,-4.76921e+12,1.44698e+11,
5.53978e+08,1.81135e+08,-2.395e+07,1.45409e+10,-6.62409e+10,-6.72241e+09,-8.09184e+10,6.95874e+10,5.63466e+09,4.75103e+10,1.40323e+11,-5.31654e+07,-2.35691e+11,7.73293e+10,7.37657e+09,-7.63124e+11,2.66436e+11,1.59478e+10,-5.74634e+11,-1.38074e+12,4.68785e+10,2.82919e+12,9.66159e+11,-3.30819e+10,4.1779e+12,-1.62406e+12,-6.28469e+10,1.2646e+12,-4.76921e+12,1.44692e+11,
5.53986e+08,1.81177e+08,-2.39502e+07,1.46776e+10,-6.61969e+10,-6.73135e+09,-8.1e+10,6.94904e+10,5.63804e+09,4.74068e+10,1.40357e+11,-5.31699e+07,-2.35714e+11,7.72538e+10,7.37557e+09,-7.6314e+11,2.66394e+11,1.59484e+10,-5.74604e+11,-1.38076e+12,4.68775e+10,2.82918e+12,9.66181e+11,-3.30817e+10,4.17791e+12,-1.62405e+12,-6.28474e+10,1.26462e+12,-4.76921e+12,1.44686e+11,
